fecha;prec;tmed;tmin;tmax;velmedia;racha
01/01/2023;11.6;15.1;9.4;20.8;3.6;12.8
02/01/2023;0;10.1;4.5;15.7;1.7;5.3
03/01/2023;0;7.8;1.1;14.5;0.8;4.2
04/01/2023;0;8.4;2.3;14.5;1.4;4.2
05/01/2023;0;9;2.1;15.9;1.1;3.6
06/01/2023;0;8;1.6;14.4;0.3;2.5
07/01/2023;16.4;9.2;2.9;15.4;3.9;10
08/01/2023;3.6;15;13.4;16.7;4.2;13.3
09/01/2023;0.2;12.4;7.3;17.5;2.2;8.1
10/01/2023;0.4;10.1;6;14.2;0.8;3.3
11/01/2023;0;11.8;5.6;18.1;1.9;7.2
12/01/2023;0;8.3;4.1;12.5;0.6;4.2
13/01/2023;0;6.1;3.5;8.7;0.6;3.6
14/01/2023;0;7.2;6;8.5;0.8;3.6
15/01/2023;0;10.4;4.9;15.9;2.8;10
16/01/2023;1.4;9.6;4.1;15.2;3.9;12.8
17/01/2023;0.4;11.2;7.9;14.5;5;15.3
18/01/2023;0;8.2;3.5;13;5;11.7
19/01/2023;0;7;2;12;2.5;7.5
20/01/2023;0;14.7;10.4;19;4.2;10
21/01/2023;0;13.4;7.3;19.6;3.6;8.9
22/01/2023;0;6.8;0.3;13.3;1.7;6.4
23/01/2023;0;5.4;-2.7;13.5;2.2;8.6
24/01/2023;0;5.4;-1.1;11.9;3.1;8.6
25/01/2023;0;5.4;-2.1;13;1.9;7.2
26/01/2023;0;4.8;-3.2;12.9;1.4;6.7
27/01/2023;0;6.6;-1.8;15.1;3.3;12.2
28/01/2023;0;6.8;-0.4;14;4.2;10
29/01/2023;0;5.7;-1.3;12.7;1.9;6.9
30/01/2023;0;5.6;-2.6;13.7;1.4;6.1
31/01/2023;0;6.6;-2.7;16;0.6;3.1
01/02/2023;0;6.4;-2.9;15.7;1.1;5
02/02/2023;0;7.7;-1.5;16.9;0.8;4.2
03/02/2023;0;8.4;-1.7;18.6;0.8;3.6
04/02/2023;0;9.8;-1.2;20.8;0.3;2.5
05/02/2023;0;8.8;-1.5;19.1;1.9;6.4
06/02/2023;0;8.4;-1.8;18.7;1.4;8.9
07/02/2023;0.8;8.4;3.3;13.4;2.2;8.1
08/02/2023;0.4;9.4;6.4;12.5;2.8;10.3
09/02/2023;0;10.9;4.9;16.9;1.9;9.2
10/02/2023;0;8.3;2.8;13.8;2.8;11.4
11/02/2023;0;9.4;4.4;14.3;3.3;10.6
12/02/2023;0;10.9;6.9;14.9;2.5;7.5
13/02/2023;0;11.6;4.6;18.5;2.5;8.1
14/02/2023;0;11.1;3.6;18.6;2.2;7.2
15/02/2023;0;13.2;7.6;18.7;3.3;9.4
16/02/2023;0;11;2.8;19.1;1.9;7.5
17/02/2023;0;11.2;3.3;19;2.8;9.7
18/02/2023;0;15;8.9;21.1;3.1;7.5
19/02/2023;0;12.1;5.5;18.7;1.4;6.7
20/02/2023;0;15;8.7;21.4;1.7;6.7
21/02/2023;0;13.2;5.1;21.2;1.4;6.7
22/02/2023;0;11.4;4.4;18.3;1.7;7.5
23/02/2023;0;9.5;3.4;15.6;5;10.8
24/02/2023;0;6.2;-2.3;14.8;1.1;6.1
25/02/2023;2.8;8.8;3.4;14.2;2.2;8.9
26/02/2023;0;11.4;5.4;17.4;1.7;8.3
27/02/2023;0;8.1;1.1;15.1;1.7;8.3
28/02/2023;0;6.8;-1.4;15.1;1.7;8.9
01/03/2023;0;6.2;-1.2;13.5;2.2;7.5
02/03/2023;0;6.4;-3.7;16.6;0.8;4.7
03/03/2023;0;8.1;-3;19.2;0.8;5.3
04/03/2023;0;11.6;5.1;18.1;1.4;4.7
05/03/2023;14.8;10;7.4;12.5;1.1;4.7
06/03/2023;3.6;11.8;8.3;15.4;1.1;7.8
07/03/2023;0.8;14.6;9.3;19.9;2.8;7.5
08/03/2023;0.2;16.6;13.9;19.2;2.8;10.3
09/03/2023;0;17;12.3;21.8;4.7;14.4
10/03/2023;0;16.3;10.6;22;1.9;6.7
11/03/2023;0;16.2;11;21.5;2.8;8.6
12/03/2023;0;15.4;7.6;23.2;0.6;4.2
13/03/2023;0;14.6;7.3;21.9;2.8;11.7
14/03/2023;0;13.6;5.9;21.3;2.2;6.7
15/03/2023;0;15.4;4.8;26.1;1.4;5.3
16/03/2023;0.2;15;5.3;24.6;1.7;10
17/03/2023;0.4;14.8;10;19.6;3.3;10.8
18/03/2023;0.2;13.8;7.7;19.8;2.5;7.5
